id,title,runtime,genre
10431,War,103.0,Action
9352,EuroTrip,93.0,Comedy
22825,The Box,115.0,Thriller
11152,The Ruins,91.0,Drama
276907,Legend,131.0,Crime
10074,Hot Rod,88.0,Action
65055,Shark Night,91.0,Horror
200505,Draft Day,109.0,Drama
11954,Lifeforce,116.0,Fantasy
293646,The 33,120.0,Drama
59440,Warrior,140.0,Action
10655,Gettysburg,254.0,War
8988,StopLoss,113.0,Drama
15992,Abandon,99.0,Drama
64639,Straw Dogs,110.0,Drama
9903,The Hoax,116.0,Comedy
21338,Stone Cold,92.0,Action
20766,The Road,111.0,Adventure
24264,Sheena,117.0,Action
9067,Tank Girl,98.0,Action
8338,Blindness,121.0,Drama
168705,BloodRayne,95.0,Action
72113,Carnage,80.0,Comedy
39845,Love Ranch,117.0,Drama
36696,Space Dogs,85.0,Family
38543,Ironclad,121.0,Romance
33157,Waterloo,128.0,History
242166,Red Sky,100.0,Action
83770,On the Road,137.0,Adventure
4233,Scream 2,120.0,Horror
1788,Footloose,107.0,Drama
11635,Old School,91.0,Comedy
10480,Nurse Betty,108.0,Comedy
18828,Double Take,88.0,Adventure
24961,The Wiz,134.0,Adventure
43593,Piranha 3D,88.0,Comedy
41283,Faster,98.0,Crime
19908,Zombieland,88.0,Comedy
9737,Bad Boys,118.0,Action
2787,Pitch Black,108.0,Thriller
152601,Her,126.0,Romance
10866,Joy Ride,97.0,Mystery
19150,The Crew,88.0,Action
70435,Haywire,93.0,Action
354110,Forsaken,90.0,Western
22215,Cheri,86.0,Drama
11632,Vanity Fair,141.0,Drama
957,Spaceballs,96.0,Comedy
251,Ghost,127.0,Fantasy
14635,The Rookie,127.0,Drama
11090,The Animal,84.0,Action
783,Gandhi,191.0,Drama
1642,The Net,114.0,Crime
10950,I Am Sam,132.0,Drama
235260,Son of God,138.0,Drama
277,Underworld,121.0,Fantasy
8999,Derailed,108.0,Drama
10445,Shadowlands,131.0,Drama
270487,Hail Caesar,106.0,Comedy
204082,Homefront,100.0,Action
5550,RoboCop 3,104.0,Action
9075,Black Book,145.0,Drama
11661,Joyeux Nol,116.0,Romance
109513,Hit  Run,100.0,Action
12085,Mad Money,104.0,Action
38985,Sorcerer,121.0,Action
44113,Stone,105.0,Drama
21494,Moliere,115.0,Romance
153158,Underdogs,106.0,Animation
10724,Firefox,136.0,Science Fiction
20857,Hardball,106.0,Comedy
19255,Away We Go,98.0,Drama
10187,Swing Vote,120.0,Drama
44857,Molly,102.0,Drama
50780,The Beaver,91.0,Drama
1946,eXistenZ,97.0,Action
9682,Pulse,90.0,Horror
16290,Jackass 3D,94.0,Comedy
579,Jaws 2,116.0,Horror
226486,Tammy,97.0,Comedy
8326,Holes,117.0,Adventure
13497,Drumline,118.0,Drama
376659,Bad Moms,100.0,Comedy
10073,Date Movie,83.0,Comedy
273895,Selma,127.0,History
8968,Boogeyman,89.0,Thriller
9963,Premonition,96.0,Thriller
21208,Orphan,123.0,Horror
272878,Max,111.0,Adventure
9760,Epic Movie,86.0,Action
314365,Spotlight,128.0,Drama
16052,Selena,127.0,Drama
1164,Babel,143.0,Drama
14359,Doubt,104.0,Drama
1710,Copycat,124.0,Drama
10139,Milk,128.0,History
335778,Risen,107.0,Action
9645,Ghost Ship,91.0,Horror
617,Wild Things,108.0,Crime
48289,The Debt,113.0,Drama
38303,You Again,105.0,Comedy
14043,Nancy Drew,99.0,Action
19901,Daybreakers,98.0,Fantasy
59860,Monte Carlo,109.0,Adventure
10069,Stay Alive,100.0,Horror
10115,Stick It,105.0,Comedy
25132,Shorts,89.0,Comedy
577,To Die For,106.0,Fantasy
328387,Nerve,96.0,Mystery
12690,Appaloosa,115.0,Drama
9945,Vampires,108.0,Action
539,Psycho,109.0,Drama
526,Ladyhawke,121.0,Adventure
22796,Simon Birch,114.0,Comedy
470,21 Grams,124.0,Drama
15644,Paparazzi,84.0,Action
9582,A Guy Thing,101.0,Comedy
10642,Loser,98.0,Drama
4597,Armored,88.0,Action
81796,Lockout,95.0,Action
10710,Envy,99.0,Comedy
15070,Undisputed,96.0,Action
12797,Ghost Town,102.0,Comedy
